PERMNO,date,TICKER,CUSIP,RET
10104,01/31/2011,ORCL,68389X10,0.02492
10104,02/28/2011,ORCL,68389X10,0.027162
10104,03/31/2011,ORCL,68389X10,0.016185
10104,04/29/2011,ORCL,68389X10,0.077395
10104,05/31/2011,ORCL,68389X10,-0.048387
10104,06/30/2011,ORCL,68389X10,-0.038282
10104,07/29/2011,ORCL,68389X10,-0.068976
10104,08/31/2011,ORCL,68389X10,-0.08208
10104,09/30/2011,ORCL,68389X10,0.023869
10104,10/31/2011,ORCL,68389X10,0.14231
10104,11/30/2011,ORCL,68389X10,-0.043332
10104,12/30/2011,ORCL,68389X10,-0.181818
10104,01/31/2012,ORCL,68389X10,0.102144
10104,02/29/2012,ORCL,68389X10,0.037044
10104,03/30/2012,ORCL,68389X10,-0.003247
10104,04/30/2012,ORCL,68389X10,0.010288
10104,05/31/2012,ORCL,68389X10,-0.09966
10104,06/29/2012,ORCL,68389X10,0.122025
10104,07/31/2012,ORCL,68389X10,0.018855
10104,08/31/2012,ORCL,68389X10,0.048013
10104,09/28/2012,ORCL,68389X10,-0.006003
10104,10/31/2012,ORCL,68389X10,-0.010172
10104,11/30/2012,ORCL,68389X10,0.035232
10104,12/31/2012,ORCL,68389X10,0.041181
10104,01/31/2013,ORCL,68389X10,0.065726
10104,02/28/2013,ORCL,68389X10,-0.035764
10104,03/28/2013,ORCL,68389X10,-0.055783
10104,04/30/2013,ORCL,68389X10,0.013919
10104,05/31/2013,ORCL,68389X10,0.030506
10104,06/28/2013,ORCL,68389X10,-0.090882
10104,07/31/2013,ORCL,68389X10,0.05731
10104,08/30/2013,ORCL,68389X10,-0.015147
10104,09/30/2013,ORCL,68389X10,0.041117
10104,10/31/2013,ORCL,68389X10,0.013567
10104,11/29/2013,ORCL,68389X10,0.053433
10104,12/31/2013,ORCL,68389X10,0.08416
10104,01/31/2014,ORCL,68389X10,-0.03241
10104,02/28/2014,ORCL,68389X10,0.059892
10104,03/31/2014,ORCL,68389X10,0.046024
10104,04/30/2014,ORCL,68389X10,0.0022
10104,05/30/2014,ORCL,68389X10,0.027886
10104,06/30/2014,ORCL,68389X10,-0.035459
10104,07/31/2014,ORCL,68389X10,-0.000493
10104,08/29/2014,ORCL,68389X10,0.028225
10104,09/30/2014,ORCL,68389X10,-0.078257
10104,10/31/2014,ORCL,68389X10,0.02325
10104,11/28/2014,ORCL,68389X10,0.086044
10104,12/31/2014,ORCL,68389X10,0.060363
10104,01/30/2015,ORCL,68389X10,-0.065822
